,index,Age,WorkClass,Education,MartialStatus,Occupation,Service,Race,Sex,Gain,Loss,Hours,Country,Salary
0,0.0,0.0427950019023,0.0,1.12889966745,0.0,0.0,0.0,0.0,0.0,0.146089862649,-0.218582351582,-0.0777328219924,0.0,0.0
1,1.0,0.880273550984,1.0,1.12889966745,1.0,1.0,1.0,0.0,0.0,-0.147442177875,-0.218582351582,-2.33149204932,0.0,0.0
2,2.0,-0.0333394116506,2.0,-0.439730909195,2.0,2.0,0.0,0.0,0.0,-0.147442177875,-0.218582351582,-0.0777328219924,0.0,0.0
3,3.0,1.10867679164,2.0,-1.22404619752,1.0,2.0,1.0,1.0,0.0,-0.147442177875,-0.218582351582,-0.0777328219924,0.0,0.0
4,4.0,-0.79468354718,2.0,1.12889966745,1.0,3.0,2.0,1.0,1.0,-0.147442177875,-0.218582351582,-0.0777328219924,1.0,0.0
5,5.0,-0.109473825204,2.0,1.52105731161,1.0,1.0,2.0,0.0,1.0,-0.147442177875,-0.218582351582,-0.0777328219924,0.0,0.0
6,6.0,0.804139137431,2.0,-2.00836148584,3.0,4.0,0.0,1.0,1.0,-0.147442177875,-0.218582351582,-2.0810743574,2.0,0.0
7,7.0,1.03254237809,1.0,-0.439730909195,1.0,1.0,1.0,0.0,0.0,-0.147442177875,-0.218582351582,0.339629997884,0.0,1.0
8,8.0,-0.566280306521,2.0,1.52105731161,0.0,3.0,0.0,0.0,1.0,1.75417017665,-0.218582351582,0.75699281776,0.0,1.0
9,9.0,0.271198242561,2.0,1.12889966745,1.0,1.0,1.0,0.0,0.0,0.551687953603,-0.218582351582,-0.0777328219924,0.0,1.0
10,10.0,-0.109473825204,2.0,-0.0475732650349,1.0,1.0,1.0,1.0,0.0,-0.147442177875,-0.218582351582,3.26116973702,0.0,1.0
11,11.0,-0.642414720074,0.0,1.12889966745,1.0,3.0,1.0,2.0,0.0,-0.147442177875,-0.218582351582,-0.0777328219924,3.0,1.0
12,12.0,-1.17535561494,2.0,1.12889966745,0.0,0.0,3.0,0.0,1.0,-0.147442177875,-0.218582351582,-0.912458461744,0.0,0.0
13,13.0,-0.490145892968,2.0,0.736742023286,0.0,5.0,0.0,1.0,0.0,-0.147442177875,-0.218582351582,0.75699281776,0.0,0.0
14,15.0,-0.337877065862,2.0,-2.40051913,1.0,6.0,1.0,3.0,0.0,-0.147442177875,-0.218582351582,0.339629997884,4.0,0.0
15,16.0,-1.02308678784,1.0,-0.439730909195,0.0,7.0,3.0,0.0,0.0,-0.147442177875,-0.218582351582,-0.495095641868,0.0,0.0
16,17.0,-0.490145892968,2.0,-0.439730909195,0.0,8.0,4.0,0.0,0.0,-0.147442177875,-0.218582351582,-0.0777328219924,0.0,0.0
17,18.0,-0.0333394116506,2.0,-1.22404619752,1.0,5.0,1.0,0.0,0.0,-0.147442177875,-0.218582351582,0.75699281776,0.0,0.0
18,19.0,0.347332656114,1.0,1.52105731161,2.0,1.0,4.0,0.0,1.0,-0.147442177875,-0.218582351582,0.339629997884,0.0,1.0
